externalKey,title,type,roleKey,abilityKey,stage,source,provider,difficulty,url,estimatedHours,description,detail,steps,deliverables,acceptanceCriteria,verificationStatus,lastVerifiedAt,validUntil
mdn-web-docs,MDN Web Docs 学习路径,course,frontend_developer,roleFoundation,beginner,官方文档,MDN,beginner,https://developer.mozilla.org/en-US/docs/Learn,40,系统学习 HTML、CSS、JavaScript 与 Web 基础。,从 MDN 的 Learn 区按主题完成 HTML、CSS、JavaScript 与可访问性模块。,按模块阅读并运行示例|完成每章练习|整理 1 份前端基础速查表,前端基础速查表|可运行的练习仓库,能独立解释盒模型和事件循环并能通过练习自测,verified,2026-09-09,
freecodecamp-responsive-web-design,Responsive Web Design 认证课程,course,frontend_developer,projectPractice,beginner,官方课程,freeCodeCamp,beginner,https://www.freecodecamp.org/learn/2022/responsive-web-design/,60,通过项目练习响应式布局与可访问性。,按认证课程顺序完成全部练习和 5 个项目。,完成课程练习|完成 5 个认证项目|记录每个项目的响应式决策,5 个项目源码与部署链接,项目在 320px 和 1440px 下无横向滚动并通过基础可访问性检查,verified,2026-09-09,
react-learn,React 官方 Learn 教程,course,frontend_developer,roleFoundation,intermediate,官方文档,React,intermediate,https://react.dev/learn,30,从组件、状态到数据获取学习 React 官方推荐路径。,使用官方教程完成 Thinking in React、状态管理和副作用章节。,完成教程示例|改造成一个个人小项目|记录状态管理取舍,React 小项目|学习笔记,能解释组件边界、状态提升和副作用依赖,verified,2026-09-09,
python-docs-tutorial,Python 官方教程,course,backend_developer,roleFoundation,beginner,官方文档,Python Software Foundation,beginner,https://docs.python.org/3/tutorial/,30,覆盖 Python 语法、数据结构、模块、异常和标准库入门。,按官方教程章节阅读并运行示例，最后完成一个命令行小工具。,完成教程章节|实现命令行小工具|补充单元测试,Python 命令行工具|测试文件,工具能处理正常输入和至少 2 类错误输入,verified,2026-09-09,
sqlbolt,SQLBolt 交互式 SQL 教程,course,data_analyst,dataAnalysis,beginner,公开来源,SQLBolt,beginner,https://sqlbolt.com/,8,通过浏览器练习 SELECT、JOIN、聚合和子查询。,完成全部交互式课程并在本地复现至少 10 道查询。,完成课程练习|在本地数据库复现查询|记录每道题的口径,SQL 练习记录,能独立写出多表 JOIN 与分组聚合查询,verified,2026-09-09,
kaggle-learn-pandas,Kaggle Pandas 微课程,course,data_analyst,dataAnalysis,beginner,官方课程,Kaggle,beginner,https://www.kaggle.com/learn/pandas,8,学习 Pandas 数据读取、清洗、分组和合并。,完成 Kaggle 微课程全部练习并提交 notebook。,完成课程练习|提交 notebook|整理常用数据处理函数,Notebook 与函数速查表,notebook 可复现且能解释每一步数据变换,verified,2026-09-09,
google-data-analytics,Google Data Analytics 专业证书,course,data_analyst,dataAnalysis,beginner,官方课程,Coursera / Google,beginner,https://www.coursera.org/professional-certificates/google-data-analytics,120,系统学习数据分析流程、SQL、可视化和案例项目。,按证书课程顺序完成模块和案例项目，重点完成 capstone。,完成模块练习|完成 capstone 案例|输出一份分析报告,证书学习记录|capstone 分析报告,报告包含问题定义、数据口径、分析过程和结论限制,verified,2026-09-09,
tableau-training,Tableau 官方培训视频,course,data_analyst,dataAnalysis,intermediate,官方课程,Tableau,intermediate,https://www.tableau.com/learn/training,20,学习 Tableau 仪表盘、计算字段和数据故事。,观看培训视频并用公开数据完成一个仪表盘。,完成培训模块|连接公开数据|制作仪表盘|写数据故事,Tableau 仪表盘|数据故事说明,仪表盘能回答一个明确业务问题并标注数据来源,verified,2026-09-09,
prompt-engineering-guide,Prompt Engineering Guide,course,ai_product_manager,aiTooling,beginner,公开来源,DAIR.AI,beginner,https://www.promptingguide.ai/,10,学习提示词结构、示例、推理和评估方法。,阅读核心技术章节并完成 5 个可复现提示词实验。,阅读核心章节|设计 5 个提示词|记录输入输出对比,提示词实验记录,每个实验有明确目标、输入、输出和失败边界,verified,2026-09-09,
openai-prompt-engineering,OpenAI 提示词工程指南,course,ai_product_manager,aiTooling,intermediate,官方文档,OpenAI,intermediate,https://platform.openai.com/docs/guides/prompt-engineering,6,学习消息角色、少样本示例、结构化输出和评估。,阅读指南并把一个日常任务改造成可评估的提示词流程。,阅读指南|改造一个真实任务|设计评估样例,提示词模板|评估样例集,模板能稳定返回目标结构并有至少 3 个测试样例,verified,2026-09-09,
atlassian-product-management,Atlassian 产品管理指南,course,ai_product_manager,businessProduct,beginner,官方文档,Atlassian,beginner,https://www.atlassian.com/agile/product-management,8,理解产品管理职责、路线图和优先级协作。,阅读产品管理主题并为一个真实需求写一页 PRD。,阅读指南|选择一个需求|写一页 PRD|做一次评审,一页 PRD,PRD 包含问题、用户、目标、范围、验收和风险,verified,2026-09-09,
figma-design-basics,Figma Design Basics,course,ai_product_manager,businessProduct,beginner,官方课程,Figma,beginner,https://www.figma.com/resource-library/design-basics/,10,学习界面设计基础、组件和协作流程。,完成官方基础内容并在 Figma 中复刻一个简单页面。,学习基础内容|复刻一个页面|整理组件清单,可分享的 Figma 页面,页面有清晰层级并在桌面和移动画板中可用,verified,2026-09-09,
